STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
2078.0,"KUWADAVA LAKE, VILL. 
KUWADAVA, DIST. RAJKOT.",LAKE,GUJARAT,24.0,28.0,5.7,7.7,7.0,8.0,209.0,1190.0,1.1,4.8,0.0,0.17,7.0,7.0,14.0,14.0
3197.0,"MACHHU-II DAM, 
RAFLESHWAR, MORBI, RAJKOT",LAKE,GUJARAT,24.0,36.0,5.3,7.8,7.4,8.2,344.0,2370.0,0.7,3.7,0.07,0.62,2.0,2.0,2.0,2.0
3198.0,"GOMTI LAKE, OPP, 
RANCHODAJI TEMPLE, DAKOR, 
KHEDA",LAKE,GUJARAT,24.0,37.0,2.0,20.0,7.3,8.2,325.0,621.0,0.7,2.7,0.04,0.86,4.0,26.0,11.0,70.0
3199.0,"HAMISAR TALAV, BHUJ",LAKE,GUJARAT,24.0,33.0,1.2,6.4,7.0,8.2,457.0,3200.0,0.7,11.0,0.71,11.8,4.0,9.0,7.0,24.0
3200.0,"MOONSAR LAKE OF 
VIRAMGAM",LAKE,GUJARAT,27.0,30.0,0.5,9.7,8.4,9.1,1884.0,12150.0,21.0,124.0,0.18,0.53,11.0,43.0,43.0,220.0
3201.0,"MALAV TALAV, DHOLKA",LAKE,GUJARAT,26.0,30.0,1.6,9.5,8.6,9.1,2354.0,3102.0,17.0,57.0,0.18,0.35,7.0,25.0,26.0,170.0
3202.0,"VHERAIMATA TALAV AT 
ANAND",LAKE,GUJARAT,26.0,30.0,2.1,5.2,7.4,8.7,190.0,1268.0,1.2,8.0,0.0,0.58,2.0,17.0,11.0,50.0
1979.0,"OLPAD, VILLAGE 
POND:OLPAD, SURAT",POND,GUJARAT,25.0,34.0,5.1,7.0,7.1,8.1,360.0,1073.0,1.1,2.0,0.01,0.11,26.0,48.0,94.0,177.0
2079.0,"DHUDHIA TALAV AT NAVSARI, 
DIST. NAVSARI.",POND,GUJARAT,24.0,32.0,6.0,7.4,4.6,8.2,326.0,552.0,0.9,2.3,0.03,0.09,17.0,542.0,41.0,542.0
1971.0,"THOL TANK (KALOL) (DIST. 
MEHASANA)",TANK,GUJARAT,26.0,30.0,4.2,10.0,7.4,8.3,221.0,422.0,6.0,29.0,0.05,80.0,2.0,70.0,11.0,170.0
1349.0,"BRAHMSAROVAR LAKE AT 
KURUKSHETRA, HARYANA",LAKE,HARYANA,,,5.7,8.8,6.9,8.8,165.0,557.0,0.8,2.8,0.0,0.04,170.0,1750.0,840.0,8400.0
1392.0,"SUKHNA LAKE, CHANDIGARH",LAKE,HARYANA,,,5.8,8.8,7.1,8.2,281.0,566.0,2.4,5.0,0.0,0.0,200.0,1200.0,1480.0,5800.0
1291.0,"GOBINDSAGAR LAKE AT 
BILASPUR, H.P.",LAKE,"HIMACHAL 
PRADESH",10.0,24.0,7.5,10.1,7.7,8.3,176.0,572.0,0.2,0.4,0.1,0.96,27.0,120.0,220.0,920.0
1292.0,"PONGDAM LAKE AT PONG 
VILLAGE, H.P.",LAKE,"HIMACHAL 
PRADESH",13.5,20.0,6.3,8.5,7.4,8.4,172.0,352.0,0.1,0.8,0.04,1.45,5.0,13.0,170.0,280.0
1429.0,"RENUKA LAKE , 35 KM FROM 
PATNA SAHIB NORTH , H.P",LAKE,"HIMACHAL 
PRADESH",13.0,24.0,5.3,7.7,6.4,8.0,719.0,886.0,1.2,2.6,0.24,0.75,21.0,91.0,33.0,63.0
2649.0,RIWALSAR LAKE,LAKE,"HIMACHAL 
PRADESH",12.0,30.0,4.5,9.8,7.2,8.2,190.0,288.0,2.0,22.0,0.0,1.79,94.0,210.0,540.0,1600.0
2650.0,KHAZIAR LAKE,LAKE,"HIMACHAL 
PRADESH",7.9,15.1,5.9,6.3,6.8,7.7,69.0,133.0,2.8,8.0,0.0,1.53,17.0,38.0,540.0,950.0
1309.0,"DAL LAKE AT SRINAGAR, J&K",LAKE,"JAMMU & 
KASHMIR",3.6,27.0,5.2,10.0,7.2,8.5,112.0,231.0,1.0,2.1,,,,,,
2738.0,"MID POINT(MANSAR LAKE), 
J&K",LAKE,"JAMMU & 
KASHMIR",10.0,26.0,6.9,8.6,7.3,8.0,154.0,264.0,2.3,6.0,0.01,0.54,,,,
2739.0,"POINT OF DISCHARGE OF 
WASTE WATER FROM 
DIFFERENT ESTABLISHMENTS 
NEAR NAG TEMPLE, J&K",LAKE,"JAMMU & 
KASHMIR",10.0,26.0,6.1,8.0,7.6,8.1,156.0,270.0,2.4,8.0,0.11,0.79,,,,
2740.0,"MID POINT(SURINSAR LAKE), 
J&K",LAKE,"JAMMU & 
KASHMIR",9.0,27.0,6.4,9.5,7.4,8.2,156.0,258.0,9.0,13.0,0.02,1.0,,,,
2741.0,"POINT OF DISCHARGE OF 
WASTE WATER FROM 
DIFFERENT ESTABLISHMENTS , 
J&K",LAKE,"JAMMU & 
KASHMIR",9.0,27.0,6.2,9.1,7.7,8.3,145.0,262.0,6.0,21.0,0.02,1.2,,,,
3251.0,DAL LAKE AT DALGATE,LAKE,"JAMMU & 
KASHMIR",3.2,27.8,2.0,8.4,7.1,8.1,110.0,368.0,1.1,4.8,,,,,,
3252.0,DAL LAKE AT CHAIRCHINARI,LAKE,"JAMMU & 
KASHMIR",3.5,27.0,5.7,10.2,7.4,8.4,114.0,250.0,1.0,2.5,,,,,,
3253.0,DAL LAKE NEAR NISHAT LAM,LAKE,"JAMMU & 
KASHMIR",2.5,29.0,2.2,10.0,7.2,8.7,119.0,496.0,3.8,6.3,,,,,,
3254.0,DAL LAKE AT ABIKARPORA,LAKE,"JAMMU & 
KASHMIR",3.5,28.0,6.5,10.9,7.3,8.7,120.0,236.0,1.0,2.8,,,,,,
